delivery_id,customer_name,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost
1000,Kimberly Black,delhivery,automobile parts,bike,same day,west,clear,297,46.96,35:48.0,37:42.0,no,delivered,3,1632.7206
1001,Carol Goodman,xpressbees,cosmetics,ev van,express,central,cold,89.6,47.39,32:18.0,33:00.0,no,delivered,5,640.17
1002,Rebecca Wood,shadowfax,groceries,truck,two day,east,rainy,273.5,26.89,11:42.0,15:24.0,no,delivered,4,1448.17
1003,Brandi Long,dhl,electronics,ev van,same day,east,cold,269.7,12.69,32:48.0,35:00.0,no,delivered,3,1486.57
1004,Dr. Samuel Holmes DDS,dhl,clothing,van,two day,north,foggy,256.7,37.02,12:48.0,13:42.0,no,delivered,4,1394.56
1005,Richard Harmon,amazon logistics,documents,ev bike,express,west,rainy,48.4,33.15,38:30.0,28:48.0,yes,delayed,3,391.45
1006,Nancy Franklin,delhivery,groceries,scooter,same day,central,clear,198.3,43.79,26:54.0,27:48.0,no,delivered,3,1222.87
1007,Heather Stevens,xpressbees,fragile items,van,same day,north,cold,114.6,42.63,17:00.0,19:30.0,no,delivered,3,800.89
1008,Neil Dunn,blue dart,clothing,van,same day,south,hot,142.4,14.06,21:30.0,22:12.0,no,delivered,5,854.18
1009,Ronnie Page,delhivery,pharmacy,truck,same day,east,foggy,47.1,29.28,10:06.0,12:42.0,no,delivered,5,423.34
1010,Jeff Norton,fedex,groceries,scooter,same day,east,cold,293.2,22.05,35:54.0,37:18.0,no,delivered,4,1632.15
1011,Haley Cowan,ecom express,electronics,truck,two day,east,cold,80.4,46.48,54:18.0,56:00.0,no,delivered,5,541.44
1012,Cody Lopez,xpressbees,pharmacy,ev van,two day,north,rainy,257.7,20.56,13:06.0,13:48.0,no,delivered,4,1350.18
1013,Richard Griffith,xpressbees,cosmetics,bike,express,east,stormy,19,3.36,35:12.0,25:54.0,yes,failed,1,155.08
1014,Daniel Blake,xpressbees,automobile parts,ev bike,two day,east,stormy,237.9,24.59,10:18.0,11:48.0,no,delivered,3,1263.27
1015,Danielle Winters,amazon logistics,furniture,ev van,express,north,hot,239.3,11.67,07:24.0,47:54.0,yes,delayed,3,1281.51
1016,Nicholas Hernandez,fedex,documents,bike,standard,west,stormy,79,0.73,19:54.0,19:54.0,no,delivered,5,397.19
1017,Marilyn Henry,blue dart,fragile items,ev bike,standard,central,rainy,170.7,45.62,26:36.0,29:06.0,no,delivered,5,990.36
1018,Samantha Warren,amazon logistics,documents,van,same day,north,rainy,90,33.7,15:30.0,17:00.0,no,delivered,3,651.1
1019,Danielle Smith,fedex,cosmetics,truck,express,north,rainy,64,6.03,43:18.0,30:24.0,yes,failed,2,388.09
1020,Donna Snyder,fedex,automobile parts,scooter,two day,east,foggy,185.9,19.1,04:36.0,06:36.0,no,delivered,4,986.8
1021,Renee Alvarado,dhl,electronics,scooter,two day,west,stormy,217.9,14.08,07:30.0,09:48.0,no,delivered,4,1131.74
1022,Jake Frank,blue dart,automobile parts,scooter,same day,north,cold,214.1,40.85,27:36.0,29:24.0,no,delivered,5,1293.05
1023,Stacie Walker,ecom express,clothing,bike,standard,central,clear,251.7,34.9,37:00.0,37:12.0,no,delivered,4,1363.2
1024,Erika Morrison,amazon logistics,furniture,van,standard,east,foggy,214.9,5.67,31:36.0,33:30.0,no,delivered,5,1091.51
1025,Stephen Edwards,shadowfax,documents,ev van,two day,north,stormy,115.4,0.67,58:18.0,59:30.0,no,delivered,4,578.59
1026,Mark Day,dhl,clothing,ev bike,express,east,foggy,293.8,41.03,07:06.0,53:24.0,yes,delayed,3,1632.7206
1027,Steven Odom,amazon logistics,cosmetics,scooter,standard,east,clear,286.8,46.67,37:18.0,40:42.0,no,delivered,3,1574.01
1028,Philip Foster,fedex,furniture,truck,express,south,hot,136.1,48.1,35:54.0,37:36.0,no,delivered,5,874.8
1029,Melissa Hill,dhl,furniture,bike,two day,east,rainy,291.4,6.12,15:24.0,17:06.0,no,delivered,5,1475.36
1030,Susan Hughes MD,fedex,furniture,bike,standard,south,hot,295,19.68,41:18.0,41:30.0,no,delivered,5,1534.04
1031,Bonnie Gordon,ekart,cosmetics,truck,same day,central,rainy,223.3,6.29,42:06.0,30:18.0,yes,failed,1,1235.37
1032,Shawna Garcia,delhivery,automobile parts,scooter,express,south,hot,242.5,46.73,02:12.0,48:12.0,yes,failed,1,1402.69
1033,Kristen Brown,fedex,furniture,ev bike,two day,central,rainy,35.1,22.72,51:18.0,51:30.0,no,delivered,5,243.66
1034,Nicole Rivers,amazon logistics,clothing,bike,express,central,stormy,81.8,45.51,38:48.0,32:12.0,yes,delayed,2,595.53
1035,Jordan Lin,delhivery,documents,bike,same day,east,clear,37.6,22.81,11:06.0,11:48.0,no,delivered,4,356.43
1036,Briana Curry,amazon logistics,furniture,ev bike,express,north,rainy,46.8,4.72,38:36.0,28:42.0,yes,delayed,2,298.16
1037,Jennifer Norris,amazon logistics,electronics,scooter,same day,central,hot,233.4,18,30:48.0,31:18.0,no,delivered,5,1321
1038,Sherri Fields,ekart,documents,bike,standard,east,rainy,62.2,48.58,18:00.0,18:12.0,no,delivered,3,456.74
1039,Brent Roberts,shadowfax,clothing,ev bike,standard,south,foggy,114,43.85,22:00.0,23:24.0,no,delivered,4,701.55
1040,Jason Hill,blue dart,automobile parts,ev bike,same day,north,foggy,131.5,25.79,19:54.0,21:12.0,no,delivered,5,834.87
1041,Rhonda Simmons,xpressbees,groceries,ev van,express,south,rainy,21.4,16.58,31:24.0,26:06.0,yes,delayed,3,206.74
1042,Sonia Jenkins,xpressbees,fragile items,truck,standard,west,stormy,258.5,8.37,35:12.0,37:48.0,no,delivered,5,1317.61
1043,Brenda Smith,dhl,furniture,van,two day,east,rainy,253.9,7.07,12:48.0,13:24.0,no,delivered,3,1290.71
1044,Timothy Ramirez,delhivery,furniture,ev bike,same day,north,stormy,6.7,7.96,07:24.0,08:42.0,no,delivered,4,157.38
1045,Heather Hernandez,ecom express,automobile parts,ev bike,standard,west,hot,178.1,26.7,28:06.0,29:48.0,no,delivered,4,970.6
1046,Stacey Lewis,fedex,cosmetics,truck,standard,south,hot,180,35.04,29:48.0,30:00.0,no,delivered,3,1005.12
1047,Joann Rivers,ecom express,documents,scooter,two day,north,rainy,187.9,14.96,06:48.0,06:48.0,no,delivered,4,984.38
1048,Patricia Schmidt,xpressbees,documents,ev van,express,west,hot,78.3,49.22,33:48.0,31:48.0,yes,failed,1,589.16
1049,Renee Leonard,amazon logistics,pharmacy,ev bike,express,west,hot,51.6,23.45,24:12.0,29:12.0,no,delivered,4,378.35
1050,Jessica Espinoza,xpressbees,electronics,ev van,same day,central,stormy,26.9,29.86,10:12.0,10:42.0,no,delivered,5,324.08
1051,Michael Parrish,blue dart,clothing,truck,express,north,hot,216.7,26.89,04:06.0,45:42.0,yes,delayed,2,1214.17
1052,Thomas Jones,dhl,electronics,van,standard,south,foggy,148.2,38.6,24:42.0,26:48.0,no,delivered,4,856.8
1053,Victoria Wright,fedex,cosmetics,ev van,same day,south,clear,184.2,46.79,26:06.0,26:24.0,no,delivered,4,1161.37
1054,Kathleen Morris,fedex,groceries,truck,same day,east,stormy,167.7,42.4,22:18.0,24:48.0,no,delivered,5,1065.7
1055,April Shaw,delhivery,electronics,ev bike,standard,central,cold,197.7,25.84,31:30.0,31:48.0,no,delivered,5,1066.02
1056,Edward White,fedex,cosmetics,ev van,standard,north,foggy,211.9,46.94,28:42.0,33:12.0,no,delivered,5,1200.32
1057,Jack Moore,blue dart,pharmacy,scooter,same day,west,stormy,64.3,21.05,13:24.0,14:24.0,no,delivered,5,484.65
1058,Thomas Blanchard,xpressbees,cosmetics,scooter,two day,east,hot,206.7,3.87,06:30.0,08:42.0,no,delivered,4,1045.11
1059,Ricky Williams,xpressbees,clothing,bike,two day,east,cold,83.5,6.81,56:00.0,56:24.0,no,delivered,5,437.93
1060,Gregory Holland,ecom express,fragile items,truck,same day,central,foggy,9.3,47.62,08:42.0,08:54.0,no,delivered,5,289.36
1061,Larry Crawford,xpressbees,clothing,ev bike,standard,west,rainy,245.9,47.01,34:36.0,36:36.0,no,delivered,3,1370.53
1062,Kiara Mcintyre,dhl,pharmacy,ev van,express,north,stormy,225.7,45.7,01:18.0,46:36.0,yes,delayed,2,1315.6
1063,Adam Medina,ecom express,pharmacy,bike,express,east,hot,226,37.62,56:36.0,46:36.0,yes,delayed,2,1292.86
1064,Oscar Carroll,dhl,clothing,bike,two day,west,hot,113.3,34.03,58:18.0,59:18.0,no,delivered,5,668.59
1065,Manuel Miller,ekart,groceries,ev bike,standard,north,stormy,232.3,41.91,34:12.0,35:12.0,no,delivered,4,1287.23
1066,Tyler Anderson,ecom express,electronics,scooter,express,east,cold,87.7,22.38,38:54.0,32:48.0,yes,failed,2,555.64
1067,Phillip Jenkins,dhl,furniture,van,same day,east,rainy,90.1,27.46,16:00.0,17:00.0,no,delivered,4,632.88
1068,Kayla Sims,delhivery,cosmetics,bike,express,north,rainy,110.4,44.94,46:12.0,35:00.0,yes,delayed,2,736.82
1069,Riley Knight,fedex,documents,bike,same day,central,cold,217.3,3.03,28:30.0,29:42.0,no,delivered,5,1195.59
1070,William Ortiz,amazon logistics,furniture,truck,standard,south,rainy,75.2,28.25,15:24.0,19:30.0,no,delivered,3,460.75
1071,Jennifer Velasquez,blue dart,automobile parts,ev bike,two day,south,hot,23.2,19.18,49:48.0,50:18.0,no,delivered,5,173.54
1072,Kenneth Rivera,fedex,documents,ev van,express,north,rainy,78.5,27.87,36:48.0,31:48.0,yes,delayed,3,526.11
1073,Jennifer Boyer,blue dart,documents,van,express,north,hot,138.3,47.87,45:06.0,37:48.0,yes,delayed,3,885.11
1074,Debra Andrews,xpressbees,clothing,truck,two day,north,cold,96.4,39.33,55:42.0,57:36.0,no,delivered,4,599.99
1075,Kevin Duncan,fedex,furniture,ev van,standard,west,cold,216.2,23.93,32:48.0,33:36.0,no,delivered,4,1152.79
1076,Steve Mcintosh,ekart,clothing,van,express,south,stormy,24.1,34.1,36:24.0,26:24.0,yes,delayed,3,272.8
1077,Robert Scott MD,ekart,fragile items,scooter,standard,east,rainy,197.1,28.23,29:12.0,31:42.0,no,delivered,4,1070.19
1078,Derek Mckinney,shadowfax,documents,ev bike,same day,west,foggy,94.8,10.02,17:06.0,17:30.0,no,delivered,4,604.06
1079,Samuel Lee,xpressbees,pharmacy,bike,express,south,hot,56,22.91,36:30.0,29:36.0,yes,delayed,2,398.73
1080,Gloria Barnes,ecom express,clothing,scooter,same day,east,stormy,70.7,5.72,18:24.0,15:06.0,yes,delayed,3,470.66
1081,Jamie French,dhl,documents,bike,same day,east,rainy,60.4,22.93,11:54.0,14:00.0,no,delivered,5,470.79
