delivery_id,customer_name,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost,delay_hours,delay_status,delivery_time_hhmm,expected_time_hhmm,delay_hhmm,distance_category,delay_percentage,cost_per_km,rating_category,speed_kmph,weight_category
1000,kimberly black,delhivery,automobile parts,bike,same day,west,clear,297.0,46.96,35.8,37.7,no,delivered,3,1632.7206,-1.9000000000000057,On Time,35:48,37:42,-01:54,Long,-5.04,5.5,Average,8.3,Heavy
1001,carol goodman,xpressbees,cosmetics,ev van,express,central,cold,89.6,47.39,32.3,33.0,no,delivered,5,640.17,-0.7000000000000028,On Time,32:18,33:00,-00:42,Short,-2.12,7.14,Excellent,2.77,Heavy
1002,rebecca wood,shadowfax,groceries,truck,two day,east,rainy,273.5,26.89,11.7,15.4,no,delivered,4,1448.17,-3.700000000000001,On Time,11:42,15:24,-03:42,Long,-24.03,5.29,Good,23.38,Heavy
1003,brandi long,dhl,electronics,ev van,same day,east,cold,269.7,12.69,32.8,35.0,no,delivered,3,1486.57,-2.200000000000003,On Time,32:48,35:00,-02:12,Long,-6.29,5.51,Average,8.22,Medium
1004,dr. samuel holmes dds,dhl,clothing,van,two day,north,foggy,256.7,37.02,12.8,13.7,no,delivered,4,1394.56,-0.8999999999999986,On Time,12:48,13:42,-00:54,Long,-6.57,5.43,Good,20.05,Heavy
1005,richard harmon,amazon logistics,documents,ev bike,express,west,rainy,48.4,33.15,38.5,28.8,yes,delayed,3,391.45,9.7,Delayed,38:30,28:48,09:42,Short,33.68,8.09,Average,1.26,Heavy
1006,nancy franklin,delhivery,groceries,scooter,same day,central,clear,198.3,43.79,26.9,27.8,no,delivered,3,1222.87,-0.9000000000000021,On Time,26:54,27:48,-00:54,Medium,-3.24,6.17,Average,7.37,Heavy
1007,heather stevens,xpressbees,fragile items,van,same day,north,cold,114.6,42.63,17.0,19.5,no,delivered,3,800.89,-2.5,On Time,17:00,19:30,-02:30,Medium,-12.82,6.99,Average,6.74,Heavy
1008,neil dunn,blue dart,clothing,van,same day,south,hot,142.4,14.06,21.5,22.2,no,delivered,5,854.18,-0.6999999999999993,On Time,21:30,22:12,-00:42,Medium,-3.15,6.0,Excellent,6.62,Medium
1009,ronnie page,delhivery,pharmacy,truck,same day,east,foggy,47.1,29.28,10.1,12.7,no,delivered,5,423.34,-2.5999999999999996,On Time,10:06,12:42,-02:36,Short,-20.47,8.99,Excellent,4.66,Heavy
1010,jeff norton,fedex,groceries,scooter,same day,east,cold,293.2,22.05,35.9,37.3,no,delivered,4,1632.15,-1.3999999999999986,On Time,35:54,37:18,-01:24,Long,-3.75,5.57,Good,8.17,Heavy
1011,haley cowan,ecom express,electronics,truck,two day,east,cold,80.4,46.48,54.3,56.0,no,delivered,5,541.44,-1.7000000000000028,On Time,54:18,56:00,-01:42,Short,-3.04,6.73,Excellent,1.48,Heavy
1012,cody lopez,xpressbees,pharmacy,ev van,two day,north,rainy,257.7,20.56,13.1,13.8,no,delivered,4,1350.18,-0.7000000000000011,On Time,13:06,13:48,-00:42,Long,-5.07,5.24,Good,19.67,Heavy
1013,richard griffith,xpressbees,cosmetics,bike,express,east,stormy,19.0,3.36,35.2,25.9,yes,failed,1,155.08,9.300000000000004,Delayed,35:12,25:54,09:18,Short,35.91,8.16,Poor,0.54,Light
1014,daniel blake,xpressbees,automobile parts,ev bike,two day,east,stormy,237.9,24.59,10.3,11.8,no,delivered,3,1263.27,-1.5,On Time,10:18,11:48,-01:30,Medium,-12.71,5.31,Average,23.1,Heavy
1015,danielle winters,amazon logistics,furniture,ev van,express,north,hot,239.3,11.67,7.4,47.9,yes,delayed,3,1281.51,-40.5,On Time,07:24,47:54,-40:30,Medium,-84.55,5.36,Average,32.34,Medium
1016,nicholas hernandez,fedex,documents,bike,standard,west,stormy,79.0,0.73,19.9,19.9,no,delivered,5,397.19,0.0,On Time,19:54,19:54,00:00,Short,0.0,5.03,Excellent,3.97,Light
1017,marilyn henry,blue dart,fragile items,ev bike,standard,central,rainy,170.7,45.62,26.6,29.1,no,delivered,5,990.36,-2.5,On Time,26:36,29:06,-02:30,Medium,-8.59,5.8,Excellent,6.42,Heavy
1018,samantha warren,amazon logistics,documents,van,same day,north,rainy,90.0,33.7,15.5,17.0,no,delivered,3,651.1,-1.5,On Time,15:30,17:00,-01:30,Short,-8.82,7.23,Average,5.81,Heavy
1019,danielle smith,fedex,cosmetics,truck,express,north,rainy,64.0,6.03,43.3,30.4,yes,failed,2,388.09,12.899999999999999,Delayed,43:18,30:24,12:54,Short,42.43,6.06,Poor,1.48,Medium
1020,donna snyder,fedex,automobile parts,scooter,two day,east,foggy,185.9,19.1,4.6,6.6,no,delivered,4,986.8,-2.0,On Time,04:36,06:36,-02:00,Medium,-30.3,5.31,Good,40.41,Heavy
1021,renee alvarado,dhl,electronics,scooter,two day,west,stormy,217.9,14.08,7.5,9.8,no,delivered,4,1131.74,-2.3000000000000007,On Time,07:30,09:48,-02:18,Medium,-23.47,5.19,Good,29.05,Medium
1022,jake frank,blue dart,automobile parts,scooter,same day,north,cold,214.1,40.85,27.6,29.4,no,delivered,5,1293.05,-1.7999999999999972,On Time,27:36,29:24,-01:48,Medium,-6.12,6.04,Excellent,7.76,Heavy
1023,stacie walker,ecom express,clothing,bike,standard,central,clear,251.7,34.9,37.0,37.2,no,delivered,4,1363.2,-0.20000000000000284,On Time,37:00,37:12,-00:12,Long,-0.54,5.42,Good,6.8,Heavy
1024,erika morrison,amazon logistics,furniture,van,standard,east,foggy,214.9,5.67,31.6,33.5,no,delivered,5,1091.51,-1.8999999999999986,On Time,31:36,33:30,-01:54,Medium,-5.67,5.08,Excellent,6.8,Medium
